title,skills
Software Developer,"Python Flask SQL Git RESTAPI"
Data Analyst,"Python SQL Excel PowerBI Statistics"
Network Engineer,"Cisco Routing Switching TCPIP Linux"
Cybersecurity Analyst,"Linux Networking SIEM Security"
Web Developer,"HTML CSS JavaScript React Git"
Mobile Developer,"Flutter Dart Firebase Git"
Database Administrator,"SQL MySQL PostgreSQL Backup"
IT Support Officer,"Windows Troubleshooting Networking Hardware"
AI Intern,"Python MachineLearning TensorFlow Flask"
Systems Administrator,"Linux Bash Networking Virtualization"
``
